created,id,text,name,screen_name,friends,followers,favorites,location,retweets,user_description,status_count,in_reply_to,in_reply_to_name,retweeted
2017-12-10 20:31,939955721571045378,Falls das stimmt  wäre es ein überzeugendes Argument für ein Ja zu #NoBillag . https://t.co/qRLmLqYj7c,Markus Felber,Frechgeist,1516,7438,32681,Frecher Geist weht  wo er will,2,Wer mir folgt  sollte mich nicht allzu ernst nehmen. Ich tue es auch nicht.,91409,None,None, ,False
2017-12-10 20:27,939954871217938432,@byebyebillag Davon gehe ich nicht unbedingt aus  aber wenn bei einem ja zu #NoBillag anscheinend die Vögel vom Him… https://t.co/7us0Sjcl9a,NikBisch,NikBisch,36,9,100,Stäfa,0,,168,939234801306959873,byebyebillag, 18830840 byebyebillag Bye Bye Billag-,False
2017-12-10 20:26,939954409848692737,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,Unabhängig Liberal,liberalnudger,92,39,120,Schweiz,63,Menschenrechte | Freiheit | Vielfalt | Toleranz | Grundrechte | Chancenland Schweiz | Chance Europa | Aufklärung | Transparenz | #NEINzuNoBillag,222,None,None, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-,False
2017-12-10 20:24,939953881131442176,RT @rudolf_mohler: Unabhängig vom Ausgang @NoBillag/@NoSendeschluss: Die @SRGSSR wird schrumpfen müssen. Hier ist Sparpotenzial vorhanden.…,Serge (͡° ͜ʖ ͡°),serge_zh,175,169,121,Oftringen  Schweiz,22,Mensch und Steuerzahler,687,None,None, 783533129818660864 rudolf_mohler Rudolf Mohler-1383737941 NoBillag No Billag!-885159891891040256 NoSendeschluss Sendeschluss NEIN-1871613643 SRGSSR SRG SSR-,False
2017-12-10 20:23,939953621235568640,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,Peter Voegele,Voegizug,78,25,913,Zug,63,,1054,None,None, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-,False
2017-12-10 20:21,939953244444479488,@salegen @wahlch15 @NoBillag Eben! BAK- plus SRG-Förderung ist nicht subsidiär  entweder oder plus Drittmittel schon.,Felix Schneuwly,FelixSchneuwly,1405,1909,13148,Switzerland,0,Verbandstätigkeit im Sozial- und Gesundheitswesen / seit 2011 als Head of Public Affairs @Comparis / privat liberal / beruflich für  Marktmacht der Konsumenten,36364,939949731379281921,salegen, 207694861 salegen Salva Leutenegger-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-,False
2017-12-10 20:21,939953240631926786,"#NoBillag am 2.Advent 2017 Zürich hat es in den Schnee geregnet 
wir halten trotzdem durch,
Darum gibts noch etwas… https://t.co/xvkiNeJLYw",Rolf Müller®〽️🇨🇭,RolfMll35367465,80,49,1381,schweiz 🇨🇭zürich,0,Ich sage ja zur #Nobillag Initative märz 2018  da Ich das #SRF als Gefahr für unseres Nationales Heimatgefühl sehe 💗😋💗 Helvetia 🇨🇭🇨🇭1291🇨🇭🇨🇭 ✨💫⭐️✨💫,2921,None,None, ,False
2017-12-10 20:18,939952599993864193,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",Rolf Todesco,RolfTodesco,135,75,340,,22,,974,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 20:18,939952398524493824,"@mikehabegger1 @salegen @wahlch15 @NoBillag Ich habe ein GA  unterstütze alles, was Solidarität und Eigenverantwort… https://t.co/jbuYA9GIoo",Felix Schneuwly,FelixSchneuwly,1405,1909,13148,Switzerland,0,Verbandstätigkeit im Sozial- und Gesundheitswesen / seit 2011 als Head of Public Affairs @Comparis / privat liberal / beruflich für  Marktmacht der Konsumenten,36364,939948549101547520,mikehabegger1, 889402712563077123 mikehabegger1 Michael Habegger-207694861 salegen Salva Leutenegger-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-,False
2017-12-10 20:11,939950642935877633,RT @LahorJakrlin: @peha24 @naehdrescherin Das hatten wir schon mal. Siehe Bild. Jetzt ist die Geduld mit Doris und den @SRGSSR-Genossen zu…,R. Brabi,RBrabi,56,35,1080,,2,Natürlicher Verstand kann fast jeden Grad von Bildung ersetzen  aber keine Bildung den natürlichen Verstand.,637,None,None, 809005381 LahorJakrlin Lahor Jakrlin-198068825 peha24 Peter Haslebacher-49996637 naehdrescherin Zora Debrunner ✂-1871613643 SRGSSR SRG SSR-,False
2017-12-10 20:08,939949947599966210,@peha24 @LahorJakrlin Reformation und SRF find ich jetzt schon sehr passende Stichworte. #nobillag,Zora Debrunner ✂,naehdrescherin,1641,5759,175939,,0,"Das einzige  was noch schwieriger ist, als ein geordnetes Leben zu führen: es anderen nicht aufzuzwingen.  
(Marcel Proust)",145306,939946055717871616,peha24, 198068825 peha24 Peter Haslebacher-809005381 LahorJakrlin Lahor Jakrlin-,False
2017-12-10 20:07,939949731379281921,@FelixSchneuwly @wahlch15 @NoBillag Sie können sich gerne selber informieren  wie Kulturförderung in unserem Land f… https://t.co/G3mDqoayuC,Salva Leutenegger,salegen,446,477,2617,Zürich,0,"Medienaufmerksame  Kulturmitmischende, vertritt beruflich die Interessen der Bühnenkünstler (SBKV)",2654,939934618085666816,FelixSchneuwly, 488573993 FelixSchneuwly Felix Schneuwly-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-,False
2017-12-10 20:07,939949713813573632,@peha24 @naehdrescherin Das hatten wir schon mal. Siehe Bild. Jetzt ist die Geduld mit Doris und den @SRGSSR-Genoss… https://t.co/ICfuVvs1rt,Lahor Jakrlin,LahorJakrlin,464,1505,14972,Schweiz,2,"Marktist. Über Design  Marketing, Klimahysterie, Sozialkitsch, Benzin. Publizist, urliberal: NEIN zu Rassismus, Antisemitismus, Bullshit, Billag und RotGrün",10291,939946055717871616,peha24, 198068825 peha24 Peter Haslebacher-49996637 naehdrescherin Zora Debrunner ✂-1871613643 SRGSSR SRG SSR-,False
2017-12-10 20:06,939949495340716035,"RT @SammyRohner: In Zeiten des #NoBillag Wahlkampfes scheint @Timcast Aussage auch in der Schweiz immer zutreffender zu sein: ""The media sh…",gab.ai/peter_nater,Peter_Nater,126,177,22296,World,2,"D  E, F, Sp",6286,None,None, 890812014 SammyRohner Sammy Rohner-27000730 Timcast Tim Pool-,False
2017-12-10 20:06,939949457612967936,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",Sonnyboy2000,BabeLover10k,99,23,74,Schweiz,22,Hello world !,86,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 20:05,939949189777252352,"RT @VitalSteiner: Heisser Tipp für Investigativ-Recherche für @publiceye_ch  die mit 20000 dotiert ist: Jemand sollte dem ""humanitären"" Arm…",gab.ai/peter_nater,Peter_Nater,126,177,22296,World,4,"D  E, F, Sp",6286,None,None, 937279827412946945 VitalSteiner Vital Steiner-13762452 publiceye_ch Public Eye-,False
2017-12-10 20:04,939949005873836032,@morvjn @bierino @AlainS1991 @operationlibero Du hast nach der Annahme der #NoBillag Initiative 400 Fr. mehr zur Ve… https://t.co/3vRAMb7hs4,Mini-Schwiz,MiniSchwiz,278,226,1597,,0,,3676,939550000501190656,morvjn, 123227057 morvjn Morvjn-64775572 bierino pierino cerliani-1425976159 AlainS1991 Alain Schwald-2674994976 operationlibero Operation Libero-,False
2017-12-10 20:02,939948549101547520,@FelixSchneuwly @salegen @wahlch15 @NoBillag Und was unterstützen sie als nächtes die Solidarität abzuschaffen… https://t.co/h0qlWZd8f6,Michael Habegger,mikehabegger1,121,34,785,Thun  Schweiz,0,,778,939934618085666816,FelixSchneuwly, 488573993 FelixSchneuwly Felix Schneuwly-207694861 salegen Salva Leutenegger-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-,False
2017-12-10 19:59,939947766217834496,RT @radiorabe: Wenn die #NoBillag angenommen würde  könnten sich ein paar Milliardäre die ganze Medienlandschaft unter den Nagel reissen...…,Marco Thoma,marco__thoma,435,261,1682,Bern  Schweiz,2,"Naturalist  ecologist @insectmigration @unibern | bird ringer | Fascinated by diversity, movements, winged beings, vastness, SciFi, West Africa",963,None,None, 38142557 radiorabe Radio Bern 95.6 FM-,False
2017-12-10 19:59,939947717245235200,RT @salegen: @FelixSchneuwly @wahlch15 @NoBillag Sie wissen wie der Hase läuft  spielen hier aber den Agent provocateur. Dafür werden Sie b…,Michael Habegger,mikehabegger1,121,34,785,Thun  Schweiz,1,,778,None,None, 207694861 salegen Salva Leutenegger-488573993 FelixSchneuwly Felix Schneuwly-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-,False
2017-12-10 19:56,939946977000873985,@meier_bernhard @gwitzt @hardmanpolitics @operationlibero @NoBillag @AlainS1991 #Marktfans können keinen einzigen f… https://t.co/rsopaq8l5W,Mini-Schwiz,MiniSchwiz,278,226,1597,,0,,3676,939892239475658755,meier_bernhard, 3374295293 meier_bernhard Bernhard Meier-898025281 gwitzt Pascal-21874805 hardmanpolitics Martin Hartmann-2674994976 operationlibero Operation Libero-1383737941 NoBillag No Billag!-1425976159 AlainS1991 Alain Schwald-,False
