Source,Target,in_reply_to_statusID,tweet_ID,text,isRetweet,retweet_count,followers_count,friends_count,mentioned_users
MedienWende.ch,peter_schibli,938387574674087936,938398167887904770,"@peter_schibli Keine ""klugen Gedanken"" sondern verknöchertes Denken: Der gutbestallten Autorin fällt es leicht  die… https://t.co/6VuZAxx1Mw",False,1,133,972, 816608420 peter_schibli Peter Schibli-
Nicolas A. Rimoldi,r_appel,938391706466181120,938397870163660800,"@r_appel Seh ich auch so. ""Kleines 1x1"" war wirklich nicht sehr förderlich.  
Das stimmt nicht. Von #NoBillag profi… https://t.co/yz7L6dzeio",False,0,985,665, 164005471 r_appel ☂  Roseli Ferreira ☂-
Pro Billag,@cedricwermuth,None,938397781227655168,RT @cedricwermuth: Ich kritisiere @SRF praktisch wöchentlich. Politberichterstattung mangelhaft. Mit #NoBillag hätte ich kein öffentlich-re…,True,32,620,673, 21436172 cedricwermuth Cédric Wermuth-187853842 SRF SRF-
jaquearnoux,@boeserbube_com,None,938396870837227520,"RT @boeserbube_com: eine vernünftige #politik stellt alles staatliche zur disposition. in letzter konsequenz auch sich selbst. 
ja zu #frei…",True,1,721,2253, 703569709652955136 boeserbube_com Böser Bube-
Doerthe Reimut,@operationlibero,None,938396378207866880,RT @operationlibero: Bei der “No Billag”-Initiative geht es um viel  viel mehr als die SRG: Die Initiative schwächt mutwillig die Schweizer…,True,252,420,1583, 2674994976 operationlibero Operation Libero-
Zyankali,@byebyebillag,None,938396287367614464,"RT @byebyebillag: 1) Die Medien sollen den Staat überwachen. 2) Also müssen die Medien vom Staat unabhängig sein.
3) Deshalb Ja zu @NoBilla…",True,7,1458,2067, 18830840 byebyebillag Bye Bye Billag-
privat unterwegs🤫,@ronniegrob,None,938395504874008576,RT @ronniegrob: @schlegel_stefan @operationlibero @NoBillag «Anschlag auf unsere Demokratie» klingt für mich nicht wie eine Einladung zur D…,True,21,104,143, 5401622 ronniegrob Ronnie Grob-1443873894 schlegel_stefan Stefan Schlegel-2674994976 operationlibero Operation Libero-1383737941 NoBillag No Billag!-
(((Friedrich))),@ronniegrob,None,938395504848850944,RT @ronniegrob: @schlegel_stefan @operationlibero @NoBillag «Anschlag auf unsere Demokratie» klingt für mich nicht wie eine Einladung zur D…,True,21,206,144, 5401622 ronniegrob Ronnie Grob-1443873894 schlegel_stefan Stefan Schlegel-2674994976 operationlibero Operation Libero-1383737941 NoBillag No Billag!-
Felix Hoesch,@campaxorg,None,938394948122103809,RT @campaxorg: Am Abend des 12.12. um 18h hirnen wir in Zürich an #NeinzuNoBillag rum. Jetzt anmelden. https://t.co/a7RSmYWpOu. Wenn Du ein…,True,4,3209,5000, 4913827413 campaxorg campax-
Cornelia Meyer,@salegen,None,938394354359693312,RT @salegen: Die Liebeserklärung an das Radio SRF - von Angela Schader in der NZZ #NEINzuNoBillag #NoNoBillag #NoBillag https://t.co/xE0pjk…,True,9,741,275, 207694861 salegen Salva Leutenegger-
Roseli Ferreira☂,MiniSchwiz,938367345533308928,938393961756090368,@MiniSchwiz @NoBillag sorry to interrupt  aber die srg wird nicht vom staat unterstützt,False,0,1266,2606, 3940405757 MiniSchwiz Mini-Schwiz-1383737941 NoBillag No Billag!-
Johnny Bitcoin,3monte,938389473125167104,938393656591093760,@3monte @cedricwermuth @SRF Es sind keine „kleinen fehler“ es ist ein ausbeuterischer grober konzeptionsfehler. Soz… https://t.co/ID3bYwTSV6,False,0,146,1978, 243525047 3monte Vincenzo Tremonte-21436172 cedricwermuth Cédric Wermuth-187853842 SRF SRF-
Roseli Ferreira☂,NoBillag,938343507139399681,938393424566411265,@NoBillag @narimoldi das ist schlicht falsch. die srg ist  unabhängig  sogar von staat UND unternehmen. bei letzter… https://t.co/Z9kFHa72NQ,False,0,1266,2606, 1383737941 NoBillag No Billag!-2762951427 narimoldi Nicolas A. Rimoldi-
Gebühren-Nudel🌀,@NoBillag,None,938392950874234881,RT @NoBillag: Wir haben die 90'000er Marke durchbrochen - wir stehen nun bei 93’906 Franken. Viele Dank an die 763 Spender! Spende auch Du:…,True,5,93,97, 1383737941 NoBillag No Billag!-
D. K.,alex_baur,937302890808528897,938392912274120706,@alex_baur @NoBillag So ein Chabis. Ich schaue schon lange nur noch Fussball  Tennis und Skirennen. Den Rest hole i… https://t.co/4pFuY9Y6dW,False,0,78,312, 379285165 alex_baur Alex Baur-1383737941 NoBillag No Billag!-
jana°,silvan_amberg,None,938392669025456128,"@silvan_amberg ""I'm not prejudiced - I dont like anybody"". zu Deinem Kommentar im Account: Auch wenn die jetzt alle… https://t.co/oyv5oLbZup",False,0,132,421, 238913030 silvan_amberg Silvan Amberg-
Gebühren-Nudel🌀,@byebyebillag,None,938392632543281152,"RT @byebyebillag: 1) Die Medien sollen den Staat überwachen. 2) Also müssen die Medien vom Staat unabhängig sein.
3) Deshalb Ja zu @NoBilla…",True,7,93,97, 18830840 byebyebillag Bye Bye Billag-
TW,@Sanwaechter,None,938392632413294594,"RT @Sanwaechter: Die No-Billag gegner sagen wir brauchen die Gebühren und den Staatssender ""SRG"" für die Medienvielfalt. Seit wann ist Mono…",True,30,166,192, 929792086571921408 Sanwaechter Sandro Wächter-
MedienWende.ch,EdzardSchade,938330688864038912,938392567426805760,@EdzardSchade Das duale Rundfunksystem schafft ungleiche Voraussetzungen und verzerrt somit den Wettbewerb. Unschön… https://t.co/W2pnZuq1KE,False,0,133,972, 3302488487 EdzardSchade Edzard Schade-
Klaus Bonanomi,@salegen,None,938391827056652288,RT @salegen: Die Liebeserklärung an das Radio SRF - von Angela Schader in der NZZ #NEINzuNoBillag #NoNoBillag #NoBillag https://t.co/xE0pjk…,True,9,557,95, 207694861 salegen Salva Leutenegger-
Roseli Ferreira☂,narimoldi,938381534582763520,938391706466181120,@narimoldi beschimpfungen sind kein zeichen von stärke...sie wissen selbst: #nobillag ist keine graswurzelbewegung.… https://t.co/ocZEqLtTU7,False,0,1266,2606, 2762951427 narimoldi Nicolas A. Rimoldi-
Toni Halter,@ronniegrob,None,938391345097527296,RT @ronniegrob: @schlegel_stefan @operationlibero @NoBillag «Anschlag auf unsere Demokratie» klingt für mich nicht wie eine Einladung zur D…,True,21,113,103, 5401622 ronniegrob Ronnie Grob-1443873894 schlegel_stefan Stefan Schlegel-2674994976 operationlibero Operation Libero-1383737941 NoBillag No Billag!-
MedienWende.ch,cedricwermuth,938125805460258816,938391089995812865,@cedricwermuth @josef_lang @SRF Private müssen sich ebenso vor der Öffentlichkeit rechtfertigen. Einfach über Markt… https://t.co/uLDm084ila,False,0,133,972, 21436172 cedricwermuth Cédric Wermuth-1248446460 josef_lang Jo Lang-187853842 SRF SRF-
Fritz,@Sanwaechter,None,938390577611264000,"RT @Sanwaechter: Die No-Billag gegner sagen wir brauchen die Gebühren und den Staatssender ""SRG"" für die Medienvielfalt. Seit wann ist Mono…",True,30,342,306, 929792086571921408 Sanwaechter Sandro Wächter-
Michael Schär,alex_baur,938179601859252224,938390065956425728,@alex_baur @hdzimmermann @zac1967 @NoBillag @SRF @canalN_ Scheint ja grossartig zu laufen in Peru ...  https://t.co/JFiooTNbfk,False,0,1859,1851, 379285165 alex_baur Alex Baur-12391462 hdzimmermann HD-121068845 zac1967 Claudio Zanetti-1383737941 NoBillag No Billag!-187853842 SRF SRF-248692867 canalN_ Canal N-
Jo Lang,@cedricwermuth,None,938389717900554240,RT @cedricwermuth: Ich kritisiere @SRF praktisch wöchentlich. Politberichterstattung mangelhaft. Mit #NoBillag hätte ich kein öffentlich-re…,True,32,3575,1395, 21436172 cedricwermuth Cédric Wermuth-187853842 SRF SRF-
Martin,@NoBillag,None,938389700909436928,RT @NoBillag: Die jungen Wilden machen Dampf für #NoBillag - auch im Welschland https://t.co/gG1WpldmfJ,True,9,219,725, 1383737941 NoBillag No Billag!-
Derek Richter,publicsociete,938388208487890944,938389551361519616,@publicsociete @peschemuller @operationlibero @NoSendeschluss Genau. Es ist nicht am Staat vorzuschreiben  wer was… https://t.co/1HjGaOgx6e,False,0,301,431, 936898585634807809 publicsociete publicopinion_ch-144448749 peschemuller Pesche Müller 📝-2674994976 operationlibero Operation Libero-885159891891040256 NoSendeschluss Sendeschluss NEIN-
Vincenzo Tremonte,realJohnnyBTC,938386768436613120,938389473125167104,@realJohnnyBTC @cedricwermuth @SRF Mach Dir doch mal einen Überblick über das Angebot der SRG. So von wegen moderne… https://t.co/O7Y3gjMnaB,False,0,572,756, 728910008138764288 realJohnnyBTC Johnny Bitcoin-21436172 cedricwermuth Cédric Wermuth-187853842 SRF SRF-
(((Friedrich))),@Sanwaechter,None,938388712966250496,"RT @Sanwaechter: Die No-Billag gegner sagen wir brauchen die Gebühren und den Staatssender ""SRG"" für die Medienvielfalt. Seit wann ist Mono…",True,30,206,144, 929792086571921408 Sanwaechter Sandro Wächter-
privat unterwegs🤫,@Sanwaechter,None,938388712488042497,"RT @Sanwaechter: Die No-Billag gegner sagen wir brauchen die Gebühren und den Staatssender ""SRG"" für die Medienvielfalt. Seit wann ist Mono…",True,30,104,143, 929792086571921408 Sanwaechter Sandro Wächter-
Gebühren-Nudel🌀,@byebyebillag,None,938388582661853184,"RT @byebyebillag: Das nervte Konsumenten 2017 am meisten  Platz 1: #Billag-Mehrwertsteuer
Und noch vor Platz 1: Die Billag-#Zwangsgebühr
ht…",True,22,93,97, 18830840 byebyebillag Bye Bye Billag-
rittiner gomez 🎨,VitalSteiner,938386981909925888,938387655494176769,@VitalSteiner Das Problem bei der #NoBillag-Debatte ist die Verbissenheit und die Stellvertreter-Diskussionen.,False,0,1677,1414, 937279827412946945 VitalSteiner Vital Steiner-
Johnny Bitcoin,3monte,938382868161728512,938387624389173248,@3monte @cedricwermuth @SRF wenn die @srf ganz lieb fragt richte ich ein Blockchain finanzierungsmodell ein und ret… https://t.co/8rQKkp5b08,False,0,146,1978, 243525047 3monte Vincenzo Tremonte-21436172 cedricwermuth Cédric Wermuth-187853842 SRF SRF-187853842 SRF SRF-
Derek Richter,publicsociete,938382769750671362,938387211829022721,@publicsociete @peschemuller @operationlibero @NoSendeschluss Dieser Text stört mich eigentlich gar nicht (ausser d… https://t.co/P6aojdxJns,False,0,301,431, 936898585634807809 publicsociete publicopinion_ch-144448749 peschemuller Pesche Müller 📝-2674994976 operationlibero Operation Libero-885159891891040256 NoSendeschluss Sendeschluss NEIN-
Gebühren-Nudel🌀,@NoBillag,None,938387164164960257,RT @NoBillag: Ja zu Medienfreiheit - Ja zur Abschaffung des Billag-Gebührenzwangs. Nur vom Staat finanziell unabhängige Medien können frei…,True,36,93,97, 1383737941 NoBillag No Billag!-
Manu N,@luk_joos,None,938387138684612608,RT @luk_joos: #Nobillag-Tagebuch E10: Die Schuldigen von Charlie Hebdo und die Unschuldigen vom SRF-Studio https://t.co/7w9JUJcDi7,True,5,39,276, 2984484713 luk_joos Lukas Joos-
Anna Esposito,@redder66,None,938386734273966080,RT @redder66: Bald sind Wahlen in Züri. Erinnerung: Filippo Leutenegger ist im Vorstand der #NoBillag-Truppe „Aktion Medienfreiheit“  gemei…,True,17,55,69, 14512645 redder66 reda el arbi-
Louise Morand 🧤,@byebyebillag,None,938386682302394368,"RT @byebyebillag: Spendenbilanz (in CHF  per 6.12.17): 
@operationlibero 138'000
@NoSendeschluss 520'000

@nobillag 94'000

#davidgegengoli…",True,11,520,510, 18830840 byebyebillag Bye Bye Billag-2674994976 operationlibero Operation Libero-885159891891040256 NoSendeschluss Sendeschluss NEIN-1383737941 NoBillag No Billag!-
Gebühren-Nudel🌀,@NoBillag,None,938386089596870656,RT @NoBillag: Die jungen Wilden machen Dampf für #NoBillag - auch im Welschland https://t.co/gG1WpldmfJ,True,9,93,97, 1383737941 NoBillag No Billag!-
Toni Halter,@Sanwaechter,None,938385810302361600,"RT @Sanwaechter: Die No-Billag gegner sagen wir brauchen die Gebühren und den Staatssender ""SRG"" für die Medienvielfalt. Seit wann ist Mono…",True,30,113,103, 929792086571921408 Sanwaechter Sandro Wächter-
Florian Mösch,@operationlibero,None,938385730409254912,RT @operationlibero: Wow! In wenigen Stunden sind schon 50’000 Franken gegen #NoBillag zusammen gekommen. Danke für die Unterstützung! Das…,True,84,50,108, 2674994976 operationlibero Operation Libero-
Vital Steiner,DominikElser,938372441252024320,938385648465207297,@DominikElser @wahlch15 @NoBillag Die UBI kann nicht ohne weiteres aufgelöst werden. Es käme zu Widersprüchen mit d… https://t.co/DRvatYOXh9,False,0,121,103, 2613271452 DominikElser Dominik Elser-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-
Martin Hartmann,@byebyebillag,None,938383594619326464,"RT @byebyebillag: Spendenbilanz (in CHF  per 6.12.17): 
@operationlibero 138'000
@NoSendeschluss 520'000

@nobillag 94'000

#davidgegengoli…",True,11,788,547, 18830840 byebyebillag Bye Bye Billag-2674994976 operationlibero Operation Libero-885159891891040256 NoSendeschluss Sendeschluss NEIN-1383737941 NoBillag No Billag!-
Pierre,@byebyebillag,None,938383573278691329,"RT @byebyebillag: Das nervte Konsumenten 2017 am meisten  Platz 1: #Billag-Mehrwertsteuer
Und noch vor Platz 1: Die Billag-#Zwangsgebühr
ht…",True,22,43,87, 18830840 byebyebillag Bye Bye Billag-
Pierre,@byebyebillag,None,938383522569572353,"RT @byebyebillag: 1) Die Medien sollen den Staat überwachen. 2) Also müssen die Medien vom Staat unabhängig sein.
3) Deshalb Ja zu @NoBilla…",True,7,43,87, 18830840 byebyebillag Bye Bye Billag-
Hugo Wenger,Die_Kehrseite,938376025532137472,938383313605201920,@Die_Kehrseite @kurt_nunlist @joenuc @cma_mueller @operationlibero @wahlch15 @SRF Meinst Du Samschtig Jass oder Mii… https://t.co/Rr4gHiFy7M,False,0,111,423, 236777835 Die_Kehrseite Die_Kehrseite-199206766 kurt_nunlist Kurt Nünlist▪️-72790062 joenuc Joesip Nucić-501396132 cma_mueller Stoff-2674994976 operationlibero Operation Libero-2703077037 wahlch15 Wahlen&Abstimmungen-187853842 SRF SRF-
